Instrument,Description,Sector,TickSize,PipLocation
AU200_AUD,Australia 200,Index,1,0
BCO_USD,Brent Crude Oil, Commodity,0.01,-2
CN50_USD,China A50,Index,1,0
CORN_USD,Corn, Commodity,0.01,-2
DE10YB_EUR,Bund, Treasury,0.01,-2
DE30_EUR,Germany 30,Index,1,0
EU50_EUR,Europe 50,Index,1,0
FR40_EUR,France 40,Index,1,0
HK33_HKD,Hong Kong 33,Index,1,0
IN50_USD,India 50,Index,1,0
JP225_USD,Japan 225,Index,1,0
NAS100_USD,US Nas 100,Index,1,0
NATGAS_USD,Natural Gas, Commodity,0.01,-2
NL25_EUR,Netherlands 25,Index,0.01,-2
SG30_SGD,Singapore 30,Index,0.1,-1
SOYBN_USD,Soybeans, Commodity,0.01,-2
SPX500_USD,US SPX 500,Index,1,0
SUGAR_USD,Sugar, Commodity,0.0001,-4
TWIX_USD,Taiwan Index,Index,1,0
UK100_GBP,UK 100,Index,1,0
UK10YB_GBP,UK 10Y Gilt,Index,0.01,-2
US2000_USD,US Russ 2000,Index,0.01,-2
US30_USD,US Wall St 30,Index,1,0
USB02Y_USD,US 2Y T-Note, Treasury,0.01,-2
USB05Y_USD,US 5Y T-Note, Treasury,0.01,-2
USB10Y_USD,US 10Y T-Note, Treasury,0.01,-2
USB30Y_USD,US T-Bond, Treasury,0.01,-2
WHEAT_USD,Wheat, Commodity,0.01,-2
WTICO_USD,West Texas Oil, Commodity,0.01,-2
XCUUSD,Copper, Commodity,0.0001,-4
AUDCAD,AUD/CAD,CASH,0.0001,-4
AUDCHF,AUD/CHF,CASH,0.0001,-4
AUDHKD,AUD/HKD,CASH,0.0001,-4
AUDJPY,AUD/JPY,CASH,0.01,-2
AUDNZD,AUD/NZD,CASH,0.0001,-4
AUDSGD,AUD/SGD,CASH,0.0001,-4
AUDUSD,AUD/USD,CASH,0.0001,-4
CADCHF,CAD/CHF,CASH,0.0001,-4
CADHKD,CAD/HKD,CASH,0.0001,-4
CADJPY,CAD/JPY,CASH,0.01,-2
CADSGD,CAD/SGD,CASH,0.0001,-4
CHFHKD,CHF/HKD,CASH,0.0001,-4
CHFJPY,CHF/JPY,CASH,0.01,-2
CHFZAR,CHF/ZAR,CASH,0.0001,-4
EURAUD,EUR/AUD,CASH,0.0001,-4
EURCAD,EUR/CAD,CASH,0.0001,-4
EURCHF,EUR/CHF,CASH,0.0001,-4
EURCZK,EUR/CZK,CASH,0.0001,-4
EURDKK,EUR/DKK,CASH,0.0001,-4
EURGBP,EUR/GBP,CASH,0.0001,-4
EURHKD,EUR/HKD,CASH,0.0001,-4
EURHUF,EUR/HUF,CASH,0.01,-2
EURJPY,EUR/JPY,CASH,0.01,-2
EURNOK,EUR/NOK,CASH,0.0001,-4
EURNZD,EUR/NZD,CASH,0.0001,-4
EURPLN,EUR/PLN,CASH,0.0001,-4
EURSEK,EUR/SEK,CASH,0.0001,-4
EURSGD,EUR/SGD,CASH,0.0001,-4
EURTRY,EUR/TRY,CASH,0.0001,-4
EURUSD,EUR/USD,CASH,0.0001,-4
EURZAR,EUR/ZAR,CASH,0.0001,-4
GBPAUD,GBP/AUD,CASH,0.0001,-4
GBPCAD,GBP/CAD,CASH,0.0001,-4
GBPCHF,GBP/CHF,CASH,0.0001,-4
GBPHKD,GBP/HKD,CASH,0.0001,-4
GBPJPY,GBP/JPY,CASH,0.01,-2
GBPNZD,GBP/NZD,CASH,0.0001,-4
GBPPLN,GBP/PLN,CASH,0.0001,-4
GBPSGD,GBP/SGD,CASH,0.0001,-4
GBPUSD,GBP/USD,CASH,0.0001,-4
GBPZAR,GBP/ZAR,CASH,0.0001,-4
HKDJPY,HKD/JPY,CASH,0.0001,-4
NZDCAD,NZD/CAD,CASH,0.0001,-4
NZDCHF,NZD/CHF,CASH,0.0001,-4
NZDHKD,NZD/HKD,CASH,0.0001,-4
NZDJPY,NZD/JPY,CASH,0.01,-2
NZDSGD,NZD/SGD,CASH,0.0001,-4
NZDUSD,NZD/USD,CASH,0.0001,-4
SGDCHF,SGD/CHF,CASH,0.0001,-4
SGDHKD,SGD/HKD,CASH,0.0001,-4
SGDJPY,SGD/JPY,CASH,0.01,-2
TRYJPY,TRY/JPY,CASH,0.01,-2
USDCAD,USD/CAD,CASH,0.0001,-4
USDCHF,USD/CHF,CASH,0.0001,-4
USDCNH,USD/CNH,CASH,0.0001,-4
USDCZK,USD/CZK,CASH,0.0001,-4
USDDKK,USD/DKK,CASH,0.0001,-4
USDHKD,USD/HKD,CASH,0.0001,-4
USDHUF,USD/HUF,CASH,0.01,-2
USDINR,USD/INR,CASH,0.01,-2
USDJPY,USD/JPY,CASH,0.01,-2
USDMXN,USD/MXN,CASH,0.0001,-4
USDNOK,USD/NOK,CASH,0.0001,-4
USDPLN,USD/PLN,CASH,0.0001,-4
USDSAR,USD/SAR,CASH,0.0001,-4
USDSEK,USD/SEK,CASH,0.0001,-4
USDSGD,USD/SGD,CASH,0.0001,-4
USDTHB,USD/THB,CASH,0.01,-2
USDTRY,USD/TRY,CASH,0.0001,-4
USDZAR,USD/ZAR,CASH,0.0001,-4
ZARJPY,ZAR/JPY,CASH,0.01,-2
XAGAUD,Silver/AUD,Commodity,0.0001,-4
XAGCAD,Silver/CAD,Commodity,0.0001,-4
XAGCHF,Silver/CHF,Commodity,0.0001,-4
XAGEUR,Silver/EUR,Commodity,0.0001,-4
XAGGBP,Silver/GBP,Commodity,0.0001,-4
XAGHKD,Silver/HKD,Commodity,0.0001,-4
XAGJPY,Silver/JPY,Commodity,1,0
XAGNZD,Silver/NZD,Commodity,0.0001,-4
XAGSGD,Silver/SGD,Commodity,0.0001,-4
